"","Solidago_gigantea","Solidago_altissima","Helianthus_divaricatus","Acer_saccharum","Acer_spicatum","Acer_saccharinum","Acer_rubrum","Agonis_flexuosa","Populus_grandidentata","Populus_tremuloides","Ostrya_virginiana","Betula_papyrifera","Myrica_gale","Quercus_rubra","Fagus_grandifolia","Rubus_idaeus","Rubus_odoratus","Spiraea_latifolia","Prunus_serotina","Prunus_pensylvanica","Phalaris_arundinacea","Osmunda_regalis","Claytosmunda_claytoniana"
"Solidago_gigantea",0,0.5785,55.34768,250.2392,250.2392,250.2392,250.2392,250.2392,250.2392,250.2392,250.2392,250.2392,250.2392,250.2392,250.2392,250.2392,250.2392,250.2392,250.2392,250.2392,319.22552,809.75624,809.75624
"Solidago_altissima",0.5785,0,55.34768,250.2392,250.2392,250.2392,250.2392,250.2392,250.2392,250.2392,250.2392,250.2392,250.2392,250.2392,250.2392,250.2392,250.2392,250.2392,250.2392,250.2392,319.22552,809.75624,809.75624
"Helianthus_divaricatus",55.34768,55.34768,0,250.2392,250.2392,250.2392,250.2392,250.2392,250.2392,250.2392,250.2392,250.2392,250.2392,250.2392,250.2392,250.2392,250.2392,250.2392,250.2392,250.2392,319.22552,809.75624,809.75624
"Acer_saccharum",250.2392,250.2392,250.2392,0,57.17272,58.62916,58.62916,226.01172,242.72728,242.72728,242.72728,242.72728,242.72728,242.72728,242.72728,242.72728,242.72728,242.72728,242.72728,242.72728,319.22552,809.75624,809.75624
"Acer_spicatum",250.2392,250.2392,250.2392,57.17272,0,58.62916,58.62916,226.01172,242.72728,242.72728,242.72728,242.72728,242.72728,242.72728,242.72728,242.72728,242.72728,242.72728,242.72728,242.72728,319.22552,809.75624,809.75624
"Acer_saccharinum",250.2392,250.2392,250.2392,58.62916,58.62916,0,3.75638,226.01172,242.72728,242.72728,242.72728,242.72728,242.72728,242.72728,242.72728,242.72728,242.72728,242.72728,242.72728,242.72728,319.22552,809.75624,809.75624
"Acer_rubrum",250.2392,250.2392,250.2392,58.62916,58.62916,3.75638,0,226.01172,242.72728,242.72728,242.72728,242.72728,242.72728,242.72728,242.72728,242.72728,242.72728,242.72728,242.72728,242.72728,319.22552,809.75624,809.75624
"Agonis_flexuosa",250.2392,250.2392,250.2392,226.01172,226.01172,226.01172,226.01172,0,242.72728,242.72728,242.72728,242.72728,242.72728,242.72728,242.72728,242.72728,242.72728,242.72728,242.72728,242.72728,319.22552,809.75624,809.75624
"Populus_grandidentata",250.2392,250.2392,250.2392,242.72728,242.72728,242.72728,242.72728,242.72728,0,3.97992,234.12972,234.12972,234.12972,234.12972,234.12972,234.12972,234.12972,234.12972,234.12972,234.12972,319.22552,809.75624,809.75624
"Populus_tremuloides",250.2392,250.2392,250.2392,242.72728,242.72728,242.72728,242.72728,242.72728,3.97992,0,234.12972,234.12972,234.12972,234.12972,234.12972,234.12972,234.12972,234.12972,234.12972,234.12972,319.22552,809.75624,809.75624
"Ostrya_virginiana",250.2392,250.2392,250.2392,242.72728,242.72728,242.72728,242.72728,242.72728,234.12972,234.12972,0,105.56,134.81508,174.07832,174.07832,205.22,205.22,205.22,205.22,205.22,319.22552,809.75624,809.75624
"Betula_papyrifera",250.2392,250.2392,250.2392,242.72728,242.72728,242.72728,242.72728,242.72728,234.12972,234.12972,105.56,0,134.81508,174.07832,174.07832,205.22,205.22,205.22,205.22,205.22,319.22552,809.75624,809.75624
"Myrica_gale",250.2392,250.2392,250.2392,242.72728,242.72728,242.72728,242.72728,242.72728,234.12972,234.12972,134.81508,134.81508,0,174.07832,174.07832,205.22,205.22,205.22,205.22,205.22,319.22552,809.75624,809.75624
"Quercus_rubra",250.2392,250.2392,250.2392,242.72728,242.72728,242.72728,242.72728,242.72728,234.12972,234.12972,174.07832,174.07832,174.07832,0,114.42538,205.22,205.22,205.22,205.22,205.22,319.22552,809.75624,809.75624
"Fagus_grandifolia",250.2392,250.2392,250.2392,242.72728,242.72728,242.72728,242.72728,242.72728,234.12972,234.12972,174.07832,174.07832,174.07832,114.42538,0,205.22,205.22,205.22,205.22,205.22,319.22552,809.75624,809.75624
"Rubus_idaeus",250.2392,250.2392,250.2392,242.72728,242.72728,242.72728,242.72728,242.72728,234.12972,234.12972,205.22,205.22,205.22,205.22,205.22,0,34.62088,138.13094,138.13094,138.13094,319.22552,809.75624,809.75624
"Rubus_odoratus",250.2392,250.2392,250.2392,242.72728,242.72728,242.72728,242.72728,242.72728,234.12972,234.12972,205.22,205.22,205.22,205.22,205.22,34.62088,0,138.13094,138.13094,138.13094,319.22552,809.75624,809.75624
"Spiraea_latifolia",250.2392,250.2392,250.2392,242.72728,242.72728,242.72728,242.72728,242.72728,234.12972,234.12972,205.22,205.22,205.22,205.22,205.22,138.13094,138.13094,0,111.04988,111.04988,319.22552,809.75624,809.75624
"Prunus_serotina",250.2392,250.2392,250.2392,242.72728,242.72728,242.72728,242.72728,242.72728,234.12972,234.12972,205.22,205.22,205.22,205.22,205.22,138.13094,138.13094,111.04988,0,102.40036,319.22552,809.75624,809.75624
"Prunus_pensylvanica",250.2392,250.2392,250.2392,242.72728,242.72728,242.72728,242.72728,242.72728,234.12972,234.12972,205.22,205.22,205.22,205.22,205.22,138.13094,138.13094,111.04988,102.40036,0,319.22552,809.75624,809.75624
"Phalaris_arundinacea",319.22552,319.22552,319.22552,319.22552,319.22552,319.22552,319.22552,319.22552,319.22552,319.22552,319.22552,319.22552,319.22552,319.22552,319.22552,319.22552,319.22552,319.22552,319.22552,319.22552,0,809.75624,809.75624
